Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.806955287,0.658385093,0.56684492,0.609195402
AdaBoost,0.804826118,0.66894198,0.524064171,0.587706147
Naive Bayes,0.655784244,0.42687747,0.86631016,0.571932921
XGBoost,0.785663591,0.609090909,0.537433155,0.571022727
Support Vector Machine,0.792760823,0.644366197,0.489304813,0.556231003
Random Forest,0.787083038,0.627586207,0.486631016,0.548192771
Decision Tree,0.755855216,0.5390625,0.553475936,0.546174142
Gradient Descent (SGD),0.767210788,0.570552147,0.497326203,0.531428571
Neural Network (MLP),0.761533002,0.557575758,0.49197861,0.522727273
K-Nearest Neighbors,0.747338538,0.525280899,0.5,0.512328767
